
article,category,name,flex,sizes,colors,shell,ergo_balance,forward_lean,ramp_angle,last1,last2,size
604132,BOOTS,FORMULA 110 LV GW,120/110,"250,255,300,305",Black-red,PU,Race balance,12°,4°,PV 1800cc,96: 98/LV: 100,"25.5,26.5,27.5"
604128,BOOTS,FORMULA 105 W LV GW,115/105,"230,235,270,275",Black/anthracite,PU,Race balance,12°,4°,PV 1800cc,94: 96: 98/LV,"24.5,25.5,26.5"
604150,BOOTS,FORMULA 95 W LV GW,105/95,"230,235,270,275",Dark Blue/anthracite,PU,Race balance,12°,4°,PV 1800cc,94: 96: 98/LV,"24.5,25.5,26.5"
604152,BOOTS,FORMULA 95 W LV GW,105/95,"230,235,270,275",Ice/grey,PU,Race balance,12°,4°,PV 1800cc,94: 96: 98/LV,"24.5,25.5,26.5"
605110,BOOTS,KALIBER 130 MV GW BOA2,140/130,"250,255,300,305",Black-speedblue,PU,Race balance,12°,4°,PV 1850 cc,98: 100/MV: 102,"25.5,26.5,27.5"
605112,BOOTS,KALIBER 120 MV GW BOA,130/120,"250,255,300,305",White,PU,Race balance,12°,4°,PV 1850 cc,98: 100/MV: 102,"25.5,26.5,27.5"
605116,BOOTS,KALIBER 120 MV GW BOA,130/120,"250,255,300,305",Titanium,PU,Race balance,12°,4°,PV 1850 cc,98: 100/MV: 102,"25.5,26.5,27.5"
605120,BOOTS,KALIBER 120 MV GW,130/120,"250,255,300,305",Titanium,PU,Race balance,12°,4°,PV 1850 cc,98: 100/MV: 102,"25.5,26.5,27.5"
605122,BOOTS,KALIBER 105 W MV GW BOA2,115/105,"230,235,270,275",Black-turquoise,PU,Race balance,12°,4°,PV 1850 cc,96: 98: 100/MV,"24.5,25.5,26.5"
605135,BOOTS,KALIBER 110 MV GW BOA2,120/110,"240,245,300,305",Anthracite-speedblue,PU,Race balance,12°,4°,PV 1850 cc,98: 100/MV: 102,"25.5,26.5,27.5"
605138,BOOTS,KALIBER 110 MV GW BOA,120/110,"240,245,300,305",Anthracite-speedblue,PU,Race balance,12°,4°,PV 1850 cc,98: 100/MV: 102,"25.5,26.5,27.5"
605140,BOOTS,KALIBER 110 MV GW,120/110,"240,245,300,305",Anthracite-speedblue,PU,Race balance,12°,4°,PV 1850 cc,98: 100/MV: 102,"25.5,26.5,27.5"
605145,BOOTS,KALIBER 95 W MV GW BOA,105/95,"230,235,270,275",White (size 230/235-…-270/275),PU,Race balance,12°,4°,PV 1850 cc,96: 98: 100/MV,"24.5,25.5,26.5"
605146,BOOTS,KALIBER 95 W MV GW BOA,105/95,"220,225,270,275",Anthr.,PU,Race balance,12°,4°,PV 1850 cc,96: 98: 100/MV,"24.5,25.5,26.5"
605150,BOOTS,KALIBER 95 W MV GW,105/95,"230,235,270,275",Anthracite,PU,Race balance,12°,4°,PV 1850 cc,96: 98: 100/MV,"24.5,25.5,26.5"
605161,BOOTS,KALIBER 100 MV,110/100,"240,245,300,305",Black,PU / SL,Race balance,12°,4°,PV 1850 cc,98: 100/MV: 102,"25.5,26.5,27.5"
605170,BOOTS,KALIBER 85 W MV,95/85,"230,235,270,275",Black,PU / SL,Race balance,12°,4°,PV 1850 cc,96: 98: 100/MV,"24.5,25.5,26.5"
604010,BOOTS,KORE 130 LV GW,130,"220,225,230,235,240,245,300,305",Anthracite-blue,PU/SL,Race balance,12°,4°,FR 1800cc,96: 98/LV: 100,"25.5,26.5,27.5"
604011,BOOTS,KORE 130 MV GW,130,"240,245,300,305",Anthracite-blue,PU/SL,Race balance,12°,4°,FR 1850cc,98: 100/MV: 102,"25.5,26.5,27.5"
604024,BOOTS,KORE 110 MV GW,110,"230,235,300,305",Grey,PU/SL,Race balance,12°,4°,FR 1850cc,98: 100/MV: 102,"25.5,26.5,27.5"
604026,BOOTS,KORE 95 W MV GW,95,"220,225,270,275",Green,PU/SL,Race balance,12°,4°,FR 1850cc,98: 100/MV: 102,"25.5,26.5,27.5"
604033,BOOTS,CRUX PRO,130,"240,245,300,305",Black,Pebax® Rnew®+Recycled Carbon Fibers,Tour balance,"13,5°",3°,TOUR 1800cc,97: 99: 101,"25.5,26.5,27.5"
604035,BOOTS,CRUX,120,"250,255,300,305",Dark Gray,Ultramid Fiber Glass,Tour balance,"13,5°",3°,TOUR 1800cc,97: 99: 101,"25.5,26.5,27.5"
604042,BOOTS,CRUX W,115,"230,235,260,265",Gray,Ultramid Fiber Glass,Tour balance,"13,5°",3°,TOUR 1800cc,95: 97: 99,"24.5,25.5,26.5"
605305,BOOTS,EDGE 130 HV GW BOA,130/120,"250,255,300,305",Black-white,PU,Allride balance,,5°,C 2100cc,100: 102/HV: 104,"25.5,26.5,27.5"
605306,BOOTS,EDGE 130 HV GW,130/120,"250,255,320,325,335,345 (335,345 Advant Edge",Black-white,PU,Allride balance,,5°,C 2100cc,100: 102/HV: 104,"25.5,26.5,27.5"
605310,BOOTS,EDGE 120 HV GW BOA,120/110,"250,255,320,325",Anthracite-speedblue,PU,Allride balance,,5°,C 2100cc,100: 102/HV: 104,"25.5,26.5,27.5"
605311,BOOTS,EDGE 105 W HV GW BOA,105/95,"220,225,270,275",Anthracite,PU,Allride balance,,5°,C 2100cc,98: 100: 102/HV,"24.5,25.5,26.5"
605320,BOOTS,EDGE 110 HV GW BOA,110/100,"250,255,300,305",Anthracite-red,PU/SL,Allride balance,,5°,C 2100cc,100: 102/HV: 104,"25.5,26.5,27.5"
605323,BOOTS,EDGE 110 HV GW,110/100,"250,255,300,305",Anthracite-red,PU/SL,Allride balance,,5°,C 2100cc,100: 102/HV: 104,"25.5,26.5,27.5"
605326,BOOTS,EDGE 95 W HV GW BOA,95/85,"220,225,270,275",Black-fuchsia,PU/SL,Allride balance,,5°,C 2100cc,98: 100: 102/HV,"24.5,25.5,26.5"
605327,BOOTS,EDGE 95 W HV GW,95/85,"220,225,270,275",Black-fuchsia,PU/SL,Allride balance,,5°,C 2100cc,98: 100: 102/HV,"24.5,25.5,26.5"
605335,BOOTS,EDGE 100 HV BOA,100/90,"250,255,300,305",Black-white,SL,Allride balance,,5°,C 2100cc,100: 102/HV: 104,"25.5,26.5,27.5"
605338,BOOTS,EDGE 100 HV,100/90,"250,255,300,305",Black-white,SL,Allride balance,,5°,C 2100cc,100: 102/HV: 104,"25.5,26.5,27.5"
605342,BOOTS,EDGE 85 W HV BOA,85/75,"220,225,270,275",Gray,SL,Allride balance,,5°,C 2100cc,98: 100: 102/HV,"24.5,25.5,26.5"
605350,BOOTS,EDGE 85 W HV,85/75,"220,225,270,275",Anthracite,SL,Allride balance,,5°,C 2100cc,98: 100: 102/HV,"24.5,25.5,26.5"
605360,BOOTS,EDGE 90 HV,90/80,"250,255,300,305",Anthracite-speedblue,SL,Allride balance,,5°,C 2100cc,100: 102/HV: 104,"25.5,26.5,27.5"
605365,BOOTS,EDGE 75 W HV,75/65,"220,225,270,275",Black,SL,Allride balance,,5°,C 2100cc,98: 100: 102/HV,"24.5,25.5,26.5"
605368,BOOTS,EDGE 80 HV,80,"250,255,300,305",Black-red,SL,Allride balance,,5°,C 2100cc,100: 102/HV: 104,"25.5,26.5,27.5"
605369,BOOTS,EDGE 65 W HV,65,"220,225,270,275",Black,SL,Allride balance,,5°,C 2100cc,98: 100: 102/HV,"24.5,25.5,26.5"
605370,BOOTS,EDGE 65 W HV,65,"220,225,270,275",White,SL,Allride balance,,5°,C 2100cc,98: 100: 102/HV,"24.5,25.5,26.5"
604400,BOOTS,CUBE3 90,90,"250,255,300,305",Gray-red,PU/SL,Comfort balance,,6°,EC 2200cc,102: 104: 106,"25.5,26.5,27.5"
604401,BOOTS,CUBE3 80 W,80,"230,235,270,275",Black,PU/SL,Comfort balance,,6°,EC 2200cc,100: 102: 104,"24.5,25.5,26.5"
604410,BOOTS,CUBE3 70,70,"250,255,300,305,315,325",Black-anthracite,SL,Comfort balance,,6°,EC 2200cc,102: 104: 106,"25.5,26.5,27.5"
604411,BOOTS,CUBE3 60 W,60,"230,235,270,275",White-Gray,SL,Comfort balance,,6°,EC 2200cc,100: 102: 104,"24.5,25.5,26.5"
604412,BOOTS,CUBE3 60 W,60,"230,235,270,275",Black-white,SL,Comfort balance,,6°,EC 2200cc,100: 102: 104,"24.5,25.5,26.5"
605505,BOOTS,RAPTOR WCR 90 PV,100/90,"220,225,280,285",White,PU - (SHORT CUFF),Race balance,13°,4°,PV 1750cc,94: 96: 98,"25.5,26.5,27.5"
605506,BOOTS,RAPTOR  WCR 70 PV,80/70,"220,225,280,285",White,PU - (SHORT CUFF),Race balance,13°,4°,PV 1750cc,94: 96: 98,"25.5,26.5,27.5"
605508,BOOTS,RAPTOR 70,70/60,"200,205,270,275",White,SL,Race balance,13°,4°,JR Racing,,
604505,BOOTS,KORE 60,60,"200,205,270,275",Grey,SL,Race balance,,4°,JR Racing,,
605513,BOOTS,RAPTOR  60,60,"200,205,270,275",White,SL,Race balance,13°,4°,JR Racing,,
605515,BOOTS,RAPTOR  40,40,"180,185,230,235",White,SL,Race balance,13°,4°,JR Racing,,
606610,BOOTS,KORE 60,60,"200,205,270,275",Gray,SL,Race balance,13°,4°,JR Racing,,
606614,BOOTS,KORE 40,40,"180,185,230,235",Gray,SL,Race balance,13°,4°,JR Racing,,
603545,BOOTS,J3,,"230,235,260,265",Black/white,SL,,,,Junior,,
603546,BOOTS,J3,,"230,235,260,265",Speed Blue,SL,,,,Junior,,
603547,BOOTS,J3,,"230,235,260,265",White/grey,SL,,,,Junior,,
603556,BOOTS,J2,,"195,205,215,225",Black/white,SL,,,,Junior,,
603557,BOOTS,J2,,"195,205,215,225",Speed blue,SL,,,,Junior,,
603558,BOOTS,J2,,"195,205,215,225",White/grey,SL,,,,Junior,,
603565,BOOTS,J1,,"155,165,175,185",Black/white,SL,,,,Junior,,
603566,BOOTS,J1,,"155,165,175,185",Speed blue,SL,,,,Junior,,
603567,BOOTS,J1,,"155,165,175,185",White/grey,SL,,,,Junior,,
